,index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,Класс ЕО,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные,Самосвалы карьерные
1,Модель ЕО,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C,Самосвалы CAT 785C
2,Год,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025
3,Месяц,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
4,"Простой, час",129.6,143.7,174.0,138.0,158.0,451.4,402.4,137.3,182.3,137.3,165.6,160.0,133.3,142.0,144.9,169.6,160.3,165.6,592.1,222.3,403.7,161.6,146.0,167.6,155.9,127.0,152.6,151.0,138.9,186.3,63.1,64.1,89.8,63.1,65.8,84.1
5,ТО-4000,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,13.0,0.0,13.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,13.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Трсред,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,ТО-6000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,ТР,80.0,100.0,100.0,81.0,100.0,100.0,100.0,80.0,120.0,80.0,99.0,101.0,86.0,94.0,102.0,100.0,80.0,120.0,80.0,96.0,104.0,80.0,100.0,100.0,100.0,81.0,101.0,99.0,80.0,120.0,40.0,40.0,60.0,40.0,40.0,61.0
9,ТО-12000,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Трдоп.сист.,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
11,ТО-2000,8.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
12,ТО доп систем,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
13,ТО-500,4.0,8.0,0.0,9.0,5.0,5.0,9.0,5.0,4.0,9.0,0.0,9.0,9.0,0.0,8.0,5.0,3.0,10.0,5.0,4.0,8.0,4.0,4.0,4.0,4.0,10.0,5.0,5.0,9.0,4.0,4.0,0.0,4.0,4.0,0.0,4.0
14,ТО-1000,0.0,5.0,5.0,0.0,6.0,5.0,0.0,5.0,6.0,0.0,5.0,5.0,0.0,6.0,0.0,6.0,5.0,0.0,6.0,5.0,0.0,5.0,5.0,0.0,5.0,6.0,0.0,0.0,11.0,0.0,0.0,5.0,0.0,0.0,6.0,0.0
15,КР,0.0,0.0,0.0,0.0,0.0,325.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,513.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,ЕТО,40.92,36.96,40.92,39.6,40.92,39.6,40.92,40.92,39.6,40.92,39.6,40.92,40.92,38.28,40.92,39.6,40.92,39.6,40.92,40.92,39.6,40.92,39.6,40.92,40.92,36.96,40.92,39.6,40.92,39.6,20.46,20.46,19.8,20.46,19.8,20.46
